date       	weekday  	scheduled_time	arrival_time	delay_min	event_type	subject                       	weather	temperature_c	status   	note
2026-04-14	Tuesday  	11:15          	11:27       	12       	lunch     	mensa                         	sunny  	20           	attended	
2026-04-16	Thursday 	10:15          	10:29       	14       	lecture  	functional_analysis          	cloudy 	14           	attended	
2026-04-21	Tuesday  	12:15          	12:28       	13       	lecture  	functional_analysis          	sunny  	10           	attended	
2026-04-22	Wednesday	11:15          	11:21       	6        	lunch     	mensa                         	sunny  	11           	attended	
2026-04-23	Thursday 	10:15          	            	NA       	lecture  	functional_analysis          	sunny  	10           	absent    	no_show
2026-04-27	Monday   	16:00          	16:00       	0        	meeting  	project_management           	cloudy 	16           	attended  	on_time
2026-04-28	Tuesday  	12:15          	12:31       	16       	lecture  	functional_analysis          	sunny  	16           	attended	
2026-04-30	Thursday 	10:15          	            	NA       	lecture  	functional_analysis          	sunny  	12           	absent    	attending_workshop
2026-04-30	Thursday 	16:30          	17:11       	41       	bbq      	tp2_bbq                      	sunny  	20           	attended	
2026-05-04	Monday   	14:15          	14:22       	7        	lecture  	Mathematica                  	cloudy 	19           	attended	
2026-05-05	Tuesday  	12:15          	12:53       	38       	lecture  	functional_analysis          	drizzle	13           	attended	i_made_fun_"breaking_the_record?"
2026-05-06	Wednesday	08:30          	08:27       	-3       	exercise 	functional_analysis_exercise 	rain   	9            	attended  	early_arrival
2026-05-07	Thursday 	10:15          	10:22       	7        	lecture  	functional_analysis          	cloudy 	10           	attended	
2026-05-08	Friday   	16:15          	16:16       	1        	exercise 	Mathematica_exercise         	cloudy	16           	attended	
2026-05-11  Monday      14:15           14:30           15          lecture     Mathematica                     cloudy  10              attended
2026-05-11  Monday      16:00           16:14           14          meeting     project_management              cloudy  10              attended    decided_late
2026-05-12  Tuesday     12:15                           NA          lecture     functional_analysis             cloudy  10              absent      back_hurts
2026-05-13  Wednesday   8:30            8:58            28          exercise    functional_analysis_exercise    cloudy  8               attended    "streak"_with_Simon
2026-05-15  Friday      16:15           16:27           12          exercise    Mathematica_exercise            cloudy  11              attended
2026-05-18  Monday      14:15                           NA          lecture     Mathematica                     cloudy  13              absent      project_management_time_conflict
2026-05-18  Monday      15:00           15:15           15          meeting     project_management              cloudy  13              attended
2026-05-19  Tuesday     12:15           12:45           30          lecture     functional_analysis             cloudy  16              attended   
2026-05-20  Wednesday   8:30                            NA          exercise    functional_analysis_exercise    drizzle 13              absent      lab_conflict
2026-05-21  Thursday    10:15           10:36           21          lecture     functional_analysis             cloudy  15              attended
2026-05-22  Friday      16:15           16:20           5           exercise    Mathematica_exercise            sunny   25              attended
2026-06-01  Monday      14:15                           NA          lecture     Mathematica                     cloudy  21              absent      practice for project management presentation
2026-06-08  Monday      14:15           14:15           0           lecture     Mathematica                     cloudy  21              attended
2026-06-09  Tuesday     12:15                           NA          lecture     functional_analysis             cloudy  17              absent 
2026-06-10  Wednesday   12:15                           NA          exercise    functional_analysis_exercise    cloudy  12              absent
2026-06-11  Thursday    10:15                           NA          lecture     functional_analysis             cloudy  17              absent
2026-06-12  Friday      16:15           16:15           0           exercise    Mathematica_exercise            cloudy  18              attended
2026-06-15  Monday      14:15           14:15           0           lecture     Mathematica                     cloudy  17              attended    on_time
2026-06-15  Monday      16:00           16:05           5           meeting     project_management              cloudy  18              attended
2026-06-16  Tuesday     12:15           12:41           26          lecture     functional_analysis             cloudy  21              attended
2026-06-17  Wednesday   8:30                            NA          exercise    functional_analysis_exercise    cloudy  18              absent      overslept
2026-06-18  Thursday    10:15                           NA          lecture     functional_analysis             cloudy  27              absent
2026-06-19  Friday      16:15           16:20           5           exercise    Mathematica_exercise            cloudy  34              attended
2026-06-22  Monday      14:15           14:31           16          lecture     Mathematica                     cloudy  29              attended
2026-06-23  Tuesday     12:15                           NA          lecture     functional_analysis             sunny   26              absent
2026-06-24  Wednesday   8:30                            NA          exercise    functional_analysis_exercise    sunny   24              absent
2026-06-25  Thursday    10:15                           NA          lecture     functional_analysis             sunny   32              absent
2026-06-29  Monday      14:15                           NA          lecture     Mathematica                     cloudy  26              absent
2026-06-30  Tuesday     12:15                           NA          lecture     functional_analysis             cloudy  26              absent
2026-07-01  Wednesday   8:30                            NA          exercise    functional_analysis_exercise    sunny   20              absent
2026-07-02  Thursday    10:15                           NA          lecture     functional_analysis             sunny   22              absent
